id,fonte,tipo,titolo,descrizione,ente_nome,ente_paese,regione,importo_min,importo_max,importo_stimato,valuta,data_pubblicazione,data_scadenza,stato,url_originale,url_pdf,settori,destinatari,cpv_codes
MUR-PRIN-HYBRID-2026,MUR,ricerca_nazionale,PRIN Hybrid 2026 — Progetti multidisciplinari,Bando per progetti multidisciplinari che integrano scienze umane e nuove tecnologie. Dotazione: €56.600.000. Focalizzato su tecnologie emergenti con approccio interdisciplinare.,MUR — Ministero dell'Università e della Ricerca,IT,,,,56600000.0,EUR,2026-04-20,2026-06-04,attivo,https://www.mur.gov.it/it/news/lunedi-20042026/ricerca-arriva-prin-hybrid,,multidisciplinare|ricerca|tecnologie_emergenti,enti_ricerca|ricercatori|universita,
MUR-PRIN-2026,MUR,ricerca_nazionale,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,"Bando per il finanziamento di progetti di ricerca fondamentale di rilevante interesse nazionale. Dotazione: €259.889.354. Aree: Life Sciences (35%), Physical Sciences & Engineering (35%), Social Sciences & Humanities (30%). Durata progetto: 3 anni, 4-6 unità di ricerca. 15% risorse riservato a PI under 40.",MUR — Ministero dell'Università e della Ricerca,IT,,1000000.0,1200000.0,259889354.0,EUR,2026-04-10,2026-06-01,attivo,https://www.mur.gov.it/it/aree-tematiche/ricerca/programmi-di-finanziamento/progetti-di-rilevante-interesse-nazionale-prin/prin-2026,https://www.mur.gov.it/sites/default/files/2026-04/D.D.%20n.%202298%20del%2010-04-2026%20BANDO%20PRIN%202026.pdf,fisica|ricerca|scienze_sociali|scienze_vita,enti_ricerca|ricercatori|universita,
OC-PSCABRUZZO2021,OpenCoesione,appalto_servizi,ACCORDO COESIONE ABRUZZO - FSC ANTICIPAZIONI,ACCORDO COESIONE ABRUZZO - FSC ANTICIPAZIONI,OpenCoesione / Fondi UE,IT,Abruzzo,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/PSCABRUZZO2021/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-ACCOESABRUZZO,OpenCoesione,appalto_servizi,ACCORDO COESIONE ABRUZZO - FSC ORDINARIO,ACCORDO COESIONE ABRUZZO - FSC ORDINARIO,OpenCoesione / Fondi UE,IT,Abruzzo,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/ACCOESABRUZZO/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-PSCBASILIC2021,OpenCoesione,appalto_servizi,ACCORDO COESIONE BASILICATA - FSC ANTICIPAZIONI,ACCORDO COESIONE BASILICATA - FSC ANTICIPAZIONI,OpenCoesione / Fondi UE,IT,Basilicata,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/PSCBASILIC2021/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-ACCOESBASILICATA,OpenCoesione,appalto_servizi,ACCORDO COESIONE BASILICATA - FSC ORDINARIO,ACCORDO COESIONE BASILICATA - FSC ORDINARIO,OpenCoesione / Fondi UE,IT,Basilicata,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/ACCOESBASILICATA/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-ACCOESBASILICAT,OpenCoesione,appalto_servizi,ACCORDO COESIONE BASILICATA - FSC ORDINARIO,ACCORDO COESIONE BASILICATA - FSC ORDINARIO,OpenCoesione / Fondi UE,IT,Basilicata,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/ACCOESBASILICAT/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-PSCCALABRIA2021,OpenCoesione,appalto_servizi,ACCORDO COESIONE CALABRIA - FSC ANTICIPAZIONI,ACCORDO COESIONE CALABRIA - FSC ANTICIPAZIONI,OpenCoesione / Fondi UE,IT,Calabria,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/PSCCALABRIA2021/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-ACCOESCALABRIA,OpenCoesione,appalto_servizi,ACCORDO COESIONE CALABRIA - FSC ORDINARIO,ACCORDO COESIONE CALABRIA - FSC ORDINARIO,OpenCoesione / Fondi UE,IT,Calabria,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/ACCOESCALABRIA/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-PSCCAMPANIA2021,OpenCoesione,appalto_servizi,ACCORDO COESIONE CAMPANIA - FSC ANTICIPAZIONI,ACCORDO COESIONE CAMPANIA - FSC ANTICIPAZIONI,OpenCoesione / Fondi UE,IT,Campania,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/PSCCAMPANIA2021/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-ACCBAGNCAMPANIA,OpenCoesione,appalto_servizi,ACCORDO COESIONE CAMPANIA - FSC BAGNOLI,ACCORDO COESIONE CAMPANIA - FSC BAGNOLI,OpenCoesione / Fondi UE,IT,Campania,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/ACCBAGNCAMPANIA/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
OC-ACCOESCAMPANIA,OpenCoesione,appalto_servizi,ACCORDO COESIONE CAMPANIA - FSC ORDINARIO E FDR,ACCORDO COESIONE CAMPANIA - FSC ORDINARIO E FDR,OpenCoesione / Fondi UE,IT,Campania,,,,EUR,,,attivo,https://opencoesione.gov.it/it/api/programmi/ACCOESCAMPANIA/?format=json,,pubblica_amministrazione,enti_pubblici|pa,
