bando_id,bando_fonte,bando_titolo,bando_regione,bando_stato,bando_data_scadenza,bando_importo_stimato,entita_id,entita_tipo,entita_nome,entita_sede_regione,score,score_tipo,score_settori,score_concept,score_keyword,score_peso,score_geo
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5051276665,ricercatore,Gregg L. Semenza,,0.6899,1.000,0.300,1.000,0.000,0.866,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-INST-I4210136779,ente_ricerca,"Istituto Nazionale di Fisica Nucleare, Sezione di Milano",Lombardy,0.6825,1.000,0.300,0.800,0.025,1.000,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-INST-I131729948,universita,University of Salerno,,0.6650,1.000,0.300,0.700,0.000,1.000,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-INST-I142444530,universita,University of Trieste,Friuli Venezia Giulia,0.6650,1.000,0.300,0.700,0.000,1.000,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-INST-I27483092,universita,University of Perugia,Umbria,0.6650,1.000,0.300,0.700,0.000,1.000,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5048654641,ricercatore,Alberto Mantovani,,0.6636,1.000,0.300,0.800,0.000,0.890,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5100698315,ricercatore,M. Costa,,0.6625,1.000,0.300,0.800,0.000,0.883,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5023487560,ricercatore,Michele Parrinello,,0.6596,1.000,0.300,0.800,0.000,0.864,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5106313080,ricercatore,A. Rossi,,0.6593,1.000,0.300,0.800,0.000,0.862,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5114377868,ricercatore,L. Lista,,0.6583,1.000,0.300,0.800,0.000,0.855,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5010447559,ricercatore,Giuseppe Grosso,,0.6578,1.000,0.300,0.800,0.000,0.852,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5071868716,ricercatore,Holger J. Schünemann,,0.6553,1.000,0.300,0.750,0.000,0.885,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5060127274,ricercatore,G. Della Ricca,,0.6506,1.000,0.300,0.750,0.000,0.854,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5081477856,ricercatore,G. Rolandi,,0.6504,1.000,0.300,0.750,0.000,0.852,0.500
MUR-PRIN-2026,MUR,PRIN 2026 — Progetti di Rilevante Interesse Nazionale,,attivo,2026-06-01,259889354.0,OA-A5091797706,ricercatore,P. Azzi,,0.6503,1.000,0.300,0.750,0.000,0.852,0.500
