entita_id,entita_nome,entita_tipo,tipo_segnale,valore,peso,fonte
AZIENDA-337279eddc,'CTM S.R.L.',azienda,oc_costo_pubblico_tot,6839186656.00,1.0,OpenCoesione
AZIENDA-337279eddc,'CTM S.R.L.',azienda,oc_fondi_strutturali,oc:competitivita-imprese:,3.0,OpenCoesione
AZIENDA-337279eddc,'CTM S.R.L.',azienda,oc_n_progetti,10,10.0,OpenCoesione
AZIENDA-337279eddc,'CTM S.R.L.',azienda,oc_tema,competitivita-imprese,2.0,OpenCoesione
AZIENDA-4b457b4897,'TECNOLAT' - S.P.A. -,azienda,oc_costo_pubblico_tot,6543064879.00,1.0,OpenCoesione
AZIENDA-4b457b4897,'TECNOLAT' - S.P.A. -,azienda,oc_fondi_strutturali,oc:ricerca-e-innovazione:,3.0,OpenCoesione
AZIENDA-4b457b4897,'TECNOLAT' - S.P.A. -,azienda,oc_fondi_strutturali,oc:competitivita-imprese:,3.0,OpenCoesione
AZIENDA-4b457b4897,'TECNOLAT' - S.P.A. -,azienda,oc_n_progetti,9,9.0,OpenCoesione
AZIENDA-4b457b4897,'TECNOLAT' - S.P.A. -,azienda,oc_tema,ricerca-e-innovazione,2.0,OpenCoesione
AZIENDA-4b457b4897,'TECNOLAT' - S.P.A. -,azienda,oc_tema,competitivita-imprese,2.0,OpenCoesione
AZIENDA-9305584b88,0.3 S.R.L.,azienda,oc_costo_pubblico_tot,7022958774.00,1.0,OpenCoesione
AZIENDA-9305584b88,0.3 S.R.L.,azienda,oc_fondi_strutturali,oc:competitivita-imprese:,3.0,OpenCoesione
AZIENDA-9305584b88,0.3 S.R.L.,azienda,oc_n_progetti,7,7.0,OpenCoesione
AZIENDA-9305584b88,0.3 S.R.L.,azienda,oc_tema,competitivita-imprese,2.0,OpenCoesione
AZIENDA-8c4d4223c5,3 M S.R.L.,azienda,oc_costo_pubblico_tot,5609119028.00,1.0,OpenCoesione
AZIENDA-8c4d4223c5,3 M S.R.L.,azienda,oc_fondi_strutturali,oc:ricerca-e-innovazione:,3.0,OpenCoesione
AZIENDA-8c4d4223c5,3 M S.R.L.,azienda,oc_n_progetti,8,8.0,OpenCoesione
AZIENDA-8c4d4223c5,3 M S.R.L.,azienda,oc_tema,ricerca-e-innovazione,2.0,OpenCoesione
AZIENDA-8c4d4223c5,3 M S.R.L.,azienda,oc_tema,competitivita-imprese,6.0,OpenCoesione
AZIENDA-8c4d4223c5,3 M S.R.L.,azienda,oc_tema,energia,1.0,OpenCoesione
AZIENDA-2424d76950,3DNA S.R.L.,azienda,oc_costo_pubblico_tot,3779436032.00,1.0,OpenCoesione
AZIENDA-2424d76950,3DNA S.R.L.,azienda,oc_fondi_strutturali,oc:ricerca-e-innovazione:,3.0,OpenCoesione
AZIENDA-2424d76950,3DNA S.R.L.,azienda,oc_n_progetti,10,10.0,OpenCoesione
AZIENDA-2424d76950,3DNA S.R.L.,azienda,oc_tema,ricerca-e-innovazione,2.0,OpenCoesione
AZIENDA-2424d76950,3DNA S.R.L.,azienda,oc_tema,competitivita-imprese,8.0,OpenCoesione
